path	check	status	detail
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_matrix_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_matrix_schema	PASS	fields=['allowed_scope', 'claim_id', 'controlling_artifacts', 'evidence_role', 'forbidden_overread', 'onboarding_status', 'plain_language_statement']
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_2	PASS	B01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_2	PASS	B01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_2	PASS	B01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_status_line_2	PASS	BACKGROUND_ORIENTATION
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_2	PASS	docs/history/MS_RESEARCH_LOG_2026-05-26.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_3	PASS	B02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_3	PASS	B02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_3	PASS	B02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_status_line_3	PASS	SUPPORTED_BOUNDARY
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_3	PASS	docs/history/PROGRESSION_FRONTIER_V54.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_3	PASS	docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_4	PASS	M01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_4	PASS	M01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_4	PASS	M01
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_status_line_4	PASS	LIVE_PROVISIONAL
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_4	PASS	docs/findings/FINDING_V22.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_4	PASS	docs/reports/THERAPEUTIC_PATH_V52.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_5	PASS	M02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_5	PASS	M02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_5	PASS	M02
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_status_line_5	PASS	LIVE_PROVISIONAL
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_5	PASS	docs/findings/FINDING_V22.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_5	PASS	docs/locked_rules/LOCKED_RULE_V22.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_6	PASS	M03
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_6	PASS	M03
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_6	PASS	M03
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_status_line_6	PASS	SUPPORTED_METHOD
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	source_exists_line_6	PASS	docs/workups/treatment_response/ROBUSTNESS_MAP_V28.md
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_id_line_7	PASS	M04
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_unique_line_7	PASS	M04
docs/onboarding/ONBOARDING_CLAIM_SOURCES_V55.tsv	claim_complete_line_7	PASS	M04
