field	role	required_for	mandatory_for_selected_route	available	verified	n_nonmissing	source_file	issue	field_gate_pass	missing_action
subject_id	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/subject_id.tsv	none	True	REJECT_ROLE
sample_id	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/sample_id.tsv	none	True	REJECT_ROLE
visit_id	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/visit_id.tsv	none	True	REJECT_ROLE
collection_date	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/collection_date.tsv	none	True	REJECT_ROLE
days_from_baseline	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/days_from_baseline.tsv	none	True	REJECT_ROLE
compartment	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/compartment.tsv	none	True	P2_REJECT_IF_MISSING
cell_type_or_bulk	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/cell_type_or_bulk.tsv	none	True	REJECT_ROLE
ms_course	P2	P1;P2	True	True	True	24	SYNTHETIC_ONLY/ms_course.tsv	none	True	REJECT_ROLE
course_adjudication_method	P2	P1;P2	False	True	True	24	SYNTHETIC_ONLY/course_adjudication_method.tsv	none	True	REQUEST_ADDENDUM
age_at_collection	P2	P1;P2	False	True	True	24	SYNTHETIC_ONLY/age_at_collection.tsv	none	True	REQUEST_ADDENDUM
sex	P2	P1;P2	False	True	True	24	SYNTHETIC_ONLY/sex.tsv	none	True	REQUEST_ADDENDUM
ancestry_or_genotype_pcs	P2	P1	False	True	True	24	SYNTHETIC_ONLY/ancestry_or_genotype_pcs.tsv	none	True	GENETICS_ROLE_REJECT
edss_value	P2	P1	True	True	True	24	SYNTHETIC_ONLY/edss_value.tsv	none	True	REJECT_ROLE
edss_assessment_date	P2	P1	True	True	True	24	SYNTHETIC_ONLY/edss_assessment_date.tsv	none	True	REJECT_ROLE
edss_confirmed_change	P2	P1	False	True	True	24	SYNTHETIC_ONLY/edss_confirmed_change.tsv	none	True	REQUEST_ADDENDUM
t25fw_value	P2	P1	False	True	True	24	SYNTHETIC_ONLY/t25fw_value.tsv	none	True	REPORT_MISSING
nine_hole_peg_value	P2	P1	False	True	True	24	SYNTHETIC_ONLY/nine_hole_peg_value.tsv	none	True	REPORT_MISSING
progression_event	P2	P1	True	True	True	24	SYNTHETIC_ONLY/progression_event.tsv	none	True	REJECT_ROLE
progression_definition	P2	P1	True	True	True	24	SYNTHETIC_ONLY/progression_definition.tsv	none	True	REJECT_ROLE
progression_confirmation_interval_days	P2	P1	True	True	True	24	SYNTHETIC_ONLY/progression_confirmation_interval_days.tsv	none	True	REJECT_ROLE
pira_label	P2	P1	True	True	True	24	SYNTHETIC_ONLY/pira_label.tsv	none	True	REQUEST_ADDENDUM
pira_definition	P2	P1	True	True	True	24	SYNTHETIC_ONLY/pira_definition.tsv	none	True	REJECT_PIRA_ANALYSIS
relapse_onset_date	P2	P1	True	True	True	24	SYNTHETIC_ONLY/relapse_onset_date.tsv	none	True	REJECT_PIRA_IF_MISSING
relapse_recovery_date	P2	P1	False	True	True	24	SYNTHETIC_ONLY/relapse_recovery_date.tsv	none	True	REQUEST_ADDENDUM
steroid_start_date	P2	P1	True	True	True	24	SYNTHETIC_ONLY/steroid_start_date.tsv	none	True	REJECT_PIRA_IF_MISSING
steroid_dose_and_route	P2	P1	False	True	True	24	SYNTHETIC_ONLY/steroid_dose_and_route.tsv	none	True	REQUEST_ADDENDUM
