document	words_in_prose	sentences	mean_words_per_sentence	p90_words_per_sentence	max_words_per_sentence	sentences_over_30_words	sentences_over_45_words	share_over_30	max_paragraph_words	parenthetical_openings
README.md	453	59	7.7	14.0	26	0	0	0.000	35	0
COLLABORATOR_BRIEF_V55.md	429	58	7.4	12.0	21	0	0	0.000	53	0
MS_RESEARCH_EXPLAINED.md	2133	212	10.1	19.0	29	0	0	0.000	115	2
OPEN_PROBLEMS_FOR_COLLABORATORS.md	2320	174	13.3	27.0	43	6	0	0.034	69	1
HOW_TO_CONTRIBUTE_IDEAS.md	946	110	8.6	16.0	25	0	0	0.000	53	0
WHAT_HAPPENS_TO_YOUR_IDEA.md	943	98	9.6	17.6	34	1	0	0.010	48	0
WORKED_SUBMISSION_LIFECYCLE.md	940	108	8.7	17.3	33	1	0	0.009	44	0
REVIEW_RESPONSE_TEMPLATES.md	345	51	6.8	11.0	27	0	0	0.000	38	0
STATUS_DECODER.md	604	72	8.4	14.0	26	0	0	0.000	40	0
HOW_TO_READ_NULLS_AND_BOUNDARIES.md	1276	127	10.0	18.4	27	0	0	0.000	48	0
HOW_TO_READ_NUMBERS_WITHOUT_OVERREADING.md	1658	178	9.3	18.3	29	0	0	0.000	61	3
CASE_STUDY_BRAIN_BANK_CONFOUND.md	1020	114	8.9	17.0	23	0	0	0.000	46	0
CASE_STUDY_GENETICS_REVERSALS.md	1247	135	9.2	16.0	26	0	0	0.000	48	0
CASE_STUDY_MONITOR_VS_TARGET.md	1213	130	9.3	16.0	31	1	0	0.008	56	0
CASE_STUDY_PROGRESSION_SNAPSHOT_VS_MOVIE.md	1190	136	8.8	17.0	23	0	0	0.000	48	0
CONFOUND_CHECK_QUICK_REFERENCE.md	795	104	7.6	13.7	23	0	0	0.000	41	0
CASE_STUDY_LEARNING_PATH.md	844	109	7.7	14.2	20	0	0	0.000	40	0
COLLABORATOR_WORKSHOP_GUIDE.md	1014	152	6.7	11.0	18	0	0	0.000	51	0
CASE_STUDY_CONTEXT_TO_TEST.md	1021	122	8.4	14.9	26	0	0	0.000	48	0
FAQ.md	1583	142	11.1	21.0	40	1	0	0.007	54	2
FAILURE_MODE_ATLAS.md	1454	155	9.4	19.0	28	0	0	0.000	55	2
FIRST_IDEA_IN_TEN_MINUTES.md	823	105	7.8	13.0	23	0	0	0.000	36	0
DATA_THAT_WOULD_CHANGE_THE_ANSWER.md	1167	146	8.0	14.0	29	0	0	0.000	39	3
RESEARCH_EVOLUTION_TIMELINE.md	1323	132	10.0	18.0	28	0	0	0.000	67	0
REPOSITORY_TOUR.md	1156	131	8.8	16.0	35	1	0	0.008	42	0
COLLABORATOR_ROUTES.md	952	61	15.6	29.0	34	3	0	0.049	35	1
CHALLENGE_THE_PROJECT.md	1066	120	8.9	16.1	30	0	0	0.000	48	0
CONTRIBUTE_A_DATA_SOURCE.md	743	90	8.3	15.3	27	0	0	0.000	39	0
CONTRIBUTE_A_METHOD.md	747	94	7.9	14.0	25	0	0	0.000	49	0
CONTRIBUTE_DOCUMENTATION_OR_VISUAL.md	816	86	9.5	14.0	28	0	0	0.000	45	0
PATIENT_AND_PUBLIC_SAFETY.md	567	62	9.1	15.9	21	0	0	0.000	44	0
FIND_BY_TERM.md	115	14	8.2	15.1	17	0	0	0.000	35	0
RELEASE_NOTES_V55.md	633	77	8.2	16.0	29	0	0	0.000	49	0
QUESTION_STARTERS_BY_DISCIPLINE.md	1523	178	8.6	15.0	21	0	0	0.000	38	0
IDEA_TRANSFORMATIONS.md	1824	174	10.5	20.7	30	0	0	0.000	40	0
MYTHS_AND_ACTUAL_FINDINGS.md	1398	107	13.1	20.0	30	0	0	0.000	43	0
KNOWN_NON_SOLUTIONS.md	367	44	8.3	13.7	21	0	0	0.000	41	0
PUBLIC_ISSUE_EXAMPLES.md	409	48	8.5	14.0	28	0	0	0.000	49	0
LEAD_STATUS_CARDS.md	934	84	11.1	19.0	26	0	0	0.000	33	0
VISUAL_INDEX.md	1614	129	12.5	22.0	39	2	0	0.016	142	0
