source_domain	source_locator	record_id	record_type	resource_name	epistemic_class	relationship_to_project_findings	not_project_grounded_marker	source_label	path
ebi.ac.uk	https://www.ebi.ac.uk/arrayexpress/	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	ArrayExpress in BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ArrayExpress in BioStudies page	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
ebi.ac.uk	https://www.ebi.ac.uk/about/teams/biostudies/	resource.biostudies.database.2026-06-13	external_resource_catalog	BioStudies	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMBL-EBI BioStudies team page	knowledge_external/catalogs/resources/biostudies_database.json
clinicaltrials.gov	https://clinicaltrials.gov/	resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	ClinicalTrials.gov	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ClinicalTrials.gov home page	knowledge_external/catalogs/resources/clinicaltrials_gov.json
dailymed.nlm.nih.gov	https://dailymed.nlm.nih.gov/	resource.dailymed.drug_labels.2026-06-13	external_resource_catalog	DailyMed	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed home page	knowledge_external/catalogs/resources/dailymed_drug_labels.json
disgenet.com	https://disgenet.com/	resource.disgenet.platform.2026-06-13	external_resource_catalog	DISGENET	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DISGENET home page	knowledge_external/catalogs/resources/disgenet_platform.json
datadryad.org	https://datadryad.org/	resource.dryad.repository.2026-06-13	external_resource_catalog	Dryad	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Dryad home page	knowledge_external/catalogs/resources/dryad_repository.json
ega-archive.org	https://ega-archive.org/	resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	European Genome-phenome Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EGA home page	knowledge_external/catalogs/resources/ega_controlled_genomics.json
ema.europa.eu	https://www.ema.europa.eu/en/medicines	resource.ema.medicines_database.2026-06-13	external_resource_catalog	EMA Medicines	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	EMA medicines portal	knowledge_external/catalogs/resources/ema_medicines_database.json
ebi.ac.uk	https://www.ebi.ac.uk/ena/browser/	resource.ena.sequence_archive.2026-06-13	external_resource_catalog	European Nucleotide Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	ENA Browser	knowledge_external/catalogs/resources/ena_sequence_archive.json
europepmc.org	https://europepmc.org/	resource.europe_pmc.literature.2026-06-13	external_resource_catalog	Europe PMC	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Europe PMC home page	knowledge_external/catalogs/resources/europe_pmc_literature.json
fda.gov	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	resource.fda.fdalabel_drug_labeling.2026-06-13	external_resource_catalog	FDA FDALabel	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	FDA FDALabel overview	knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json
info.figshare.com	https://info.figshare.com/about/	resource.figshare.repository.2026-06-13	external_resource_catalog	Figshare	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Figshare about page	knowledge_external/catalogs/resources/figshare_repository.json
ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/geo/	resource.geo.functional_genomics.2026-06-13	external_resource_catalog	NCBI Gene Expression Omnibus	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NCBI GEO home page	knowledge_external/catalogs/resources/geo_functional_genomics.json
ebi.ac.uk	https://www.ebi.ac.uk/gwas/	resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	NHGRI-EBI GWAS Catalog	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	GWAS Catalog home page	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
imsgc.net	https://imsgc.net/publications/	resource.imsgc.publications.2026-06-13	external_resource_catalog	International Multiple Sclerosis Genetics Consortium	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	IMSGC publications page	knowledge_external/catalogs/resources/imsgc_publications.json
mssociety.org.uk	https://www.mssociety.org.uk/about-ms/types-of-ms	resource.ms_society_uk.types_of_ms.2026-06-13	external_resource_catalog	MS Society UK Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MS Society UK Types of MS page	knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json
msbase.org	https://www.msbase.org/	resource.msbase.registry.2026-06-13	external_resource_catalog	MSBase Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSBase home page	knowledge_external/catalogs/resources/msbase_registry.json
msda.emif-catalogue.eu	https://msda.emif-catalogue.eu/	resource.msda.catalogue.2026-06-13	external_resource_catalog	MS Data Alliance Catalogue	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	MSDA Catalogue home page	knowledge_external/catalogs/resources/msda_catalogue.json
ngdc.cncb.ac.cn	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	resource.msgd.database_commons.2026-06-13	external_resource_catalog	MSGD / Multiple Sclerosis Gene Database	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Database Commons profile for MSGD	knowledge_external/catalogs/resources/msgd_database_commons.json
atlasofms.org	https://atlasofms.org/	resource.msif.atlas_of_ms.2026-06-13	external_resource_catalog	MS International Federation Atlas of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Atlas of MS	knowledge_external/catalogs/resources/msif_atlas_of_ms.json
narcoms.org	https://www.narcoms.org/	resource.narcoms.registry.2026-06-13	external_resource_catalog	NARCOMS Registry	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NARCOMS about page	knowledge_external/catalogs/resources/narcoms_registry.json
nationalmssociety.org	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	resource.national_ms_society.dmt_reference.2026-06-13	external_resource_catalog	National Multiple Sclerosis Society Disease Modification	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society disease modification page	knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json
nationalmssociety.org	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	resource.national_ms_society.types_of_ms.2026-06-13	external_resource_catalog	National Multiple Sclerosis Society Types of MS	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	National MS Society Types of MS page	knowledge_external/catalogs/resources/national_ms_society_types.json
england.nhs.uk	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	resource.nhs_england.ms_dmt_algorithm.2026-06-13	external_resource_catalog	NHS England MS DMT treatment algorithm	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NHS England MS DMT treatment algorithm PDF	knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json
nice.org.uk	https://www.nice.org.uk/guidance/ng220	resource.nice.ng220_ms_management.2026-06-13	external_resource_catalog	NICE NG220 Multiple sclerosis in adults: management	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NICE NG220 overview	knowledge_external/catalogs/resources/nice_ng220_ms_management.json
commondataelements.ninds.nih.gov	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	resource.ninds.ms_common_data_elements.2026-06-13	external_resource_catalog	NINDS Multiple Sclerosis Common Data Elements	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NINDS CDE Multiple Sclerosis page	knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json
platform-docs.opentargets.org	https://platform-docs.opentargets.org/	resource.open_targets.platform.2026-06-13	external_resource_catalog	Open Targets Platform	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Open Targets Platform documentation	knowledge_external/catalogs/resources/open_targets_platform.json
cos.io	https://www.cos.io/products/osf	resource.osf.repository.2026-06-13	external_resource_catalog	Open Science Framework	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	OSF product page	knowledge_external/catalogs/resources/osf_repository.json
pubmed.ncbi.nlm.nih.gov	https://pubmed.ncbi.nlm.nih.gov/	resource.pubmed.literature.2026-06-13	external_resource_catalog	PubMed	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	PubMed home page	knowledge_external/catalogs/resources/pubmed_literature.json
ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/sra	resource.sra.sequence_read_archive.2026-06-13	external_resource_catalog	NCBI Sequence Read Archive	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	NCBI SRA home page	knowledge_external/catalogs/resources/sra_sequence_read_archive.json
about.zenodo.org	https://about.zenodo.org/	resource.zenodo.repository.2026-06-13	external_resource_catalog	Zenodo	external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	Zenodo about page	knowledge_external/catalogs/resources/zenodo_repository.json
ncbi.nlm.nih.gov	https://www.ncbi.nlm.nih.gov/gene/972	claim.ncbi_gene.cd74_mhc2_mif_molecular_context.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	NCBI Gene CD74 molecular annotation	knowledge_external/records/cd74_ncbi_mhc2_mif_molecular_context.json
ebi.ac.uk	https://www.ebi.ac.uk/gwas/rest/api/associations/search/findByRsId?rsId=rs7522462&projection=associationBySnp	claim.gwas_catalog.chr1_rs7522462_kif21b_gpr25_ms.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	GWAS Catalog chr1 rs7522462 MS association row	knowledge_external/records/chr1_rs7522462_kif21b_gpr25_gwas_catalog_ms.json
pubmed.ncbi.nlm.nih.gov	https://pubmed.ncbi.nlm.nih.gov/37776235/	claim.jcc_2024.crohn_pants_antitnf_interferon_modules.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	PANTS Crohn anti-TNF blood immune-module response study	knowledge_external/records/crohn_pants_antitnf_interferon_modules_jcc_2024.json
pnas.org	https://www.pnas.org/doi/10.1073/pnas.2205042119	claim.diebold_2022.dmf_high_dimensional_immune_monitoring_context.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Diebold 2022 high-dimensional DMF immune-response monitoring study	knowledge_external/records/dmf_high_dimensional_immune_monitoring_diebold_2022.json
nature.com	https://www.nature.com/articles/s41598-018-26519-w	claim.sci_rep_2018.dmf_persistent_immune_composition_ms.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Montes Diaz 2018 DMF immune-cell composition study	knowledge_external/records/dmf_immune_composition_montes_diaz_2018.json
pubmed.ncbi.nlm.nih.gov	https://pubmed.ncbi.nlm.nih.gov/32045436/	claim.plos_one_2020.dmf_leukocyte_response_patient_factors_ms.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Goldman 2020 DMF leukocyte response factors	knowledge_external/records/dmf_leukocyte_response_goldman_2020.json
nature.com	https://www.nature.com/articles/s41467-019-11139-3	claim.carlstrom_2019.dmf_monocyte_ros_response_context.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Carlström 2019 DMF monocyte ROS response study	knowledge_external/records/dmf_monocyte_ros_response_carlstrom_2019.json
pmc.ncbi.nlm.nih.gov	https://pmc.ncbi.nlm.nih.gov/articles/PMC6168332/	claim.gafson_2018.dmf_pbmc_neda4_transcriptome_context.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Gafson 2018 DMF PBMC RNA-seq / NEDA-4 response study	knowledge_external/records/dmf_pbmc_neda4_transcriptome_gafson_2018.json
omicsdi.org	https://www.omicsdi.org/dataset/geo/GSE235357	claim.sanchez_sanz_2023.dmf_pbmc_response_signature_context.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	Sánchez-Sanz 2023 DMF PBMC response transcriptome / GSE235357	knowledge_external/records/dmf_pbmc_response_signature_sanchez_sanz_2023.json
journals.sagepub.com	https://journals.sagepub.com/doi/10.1177/1352458517703799	claim.mult_scler_2017.dmf_response_lymphocyte_subsets_ms.2026-06-28	external_claim		external-unverifiable	supports	NOT_PROJECT_GROUNDED	2017 DMF treatment response lymphocyte-subset study	knowledge_external/records/dmf_treatment_response_lymphocyte_subsets_sage_2017.json
dailymed.nlm.nih.gov	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external_claim		external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed dimethyl fumarate label	knowledge_external/records/dmt_dimethyl_fumarate_mechanism_label_context.json
dailymed.nlm.nih.gov	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5fdde91-1989-4dd2-9129-4f3323ea2962	claim.dailymed.natalizumab_mechanism_context.2026-06-13	external_claim		external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed TYSABRI label	knowledge_external/records/dmt_natalizumab_mechanism_label_context.json
dailymed.nlm.nih.gov	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	external_claim		external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	DailyMed OCREVUS label	knowledge_external/records/dmt_ocrelizumab_mechanism_label_context.json
pubmed.ncbi.nlm.nih.gov	https://pubmed.ncbi.nlm.nih.gov/41727017/	claim.biorxiv_2026.ebv_anti_cns_bcell_apc_ms_context.2026-06-28	external_claim		external-unverifiable	orthogonal	NOT_PROJECT_GROUNDED	bioRxiv EBV anti-CNS B-cell APC preprint	knowledge_external/records/ebv_anti_cns_bcell_apc_preprint_2026.json
