source_domain	count	epistemic_classes
about.zenodo.org	1	external-unverifiable
academic.oup.com	1	external-unverifiable
annualreviews.org	1	external-unverifiable
atlasofms.org	1	external-unverifiable
clinicaltrials.gov	1	external-unverifiable
commondataelements.ninds.nih.gov	1	external-unverifiable
cos.io	1	external-unverifiable
dailymed.nlm.nih.gov	4	external-unverifiable
datadryad.org	1	external-unverifiable
disgenet.com	1	external-unverifiable
ebi.ac.uk	7	external-unverifiable
ega-archive.org	1	external-unverifiable
ema.europa.eu	1	external-unverifiable
england.nhs.uk	1	external-unverifiable
europepmc.org	1	external-unverifiable
fda.gov	1	external-unverifiable
guidetopharmacology.org	1	external-unverifiable
imsgc.net	1	external-unverifiable
info.figshare.com	1	external-unverifiable
journals.sagepub.com	1	external-unverifiable
link.springer.com	1	external-unverifiable
msbase.org	1	external-unverifiable
msda.emif-catalogue.eu	1	external-unverifiable
mssociety.org.uk	2	external-unverifiable
narcoms.org	1	external-unverifiable
nationalmssociety.org	4	external-unverifiable
nature.com	4	external-unverifiable
ncbi.nlm.nih.gov	3	external-unverifiable
ngdc.cncb.ac.cn	1	external-unverifiable
nice.org.uk	1	external-unverifiable
omicsdi.org	1	external-unverifiable
platform-docs.opentargets.org	1	external-unverifiable
pmc.ncbi.nlm.nih.gov	6	external-unverifiable
pnas.org	1	external-unverifiable
pubmed.ncbi.nlm.nih.gov	14	external-unverifiable
