category	category_label	epistemic_class	count
clinical_reference_and_guidelines	Clinical reference and guidelines	ALL	4
clinical_trials_registry	Clinical trials registry	ALL	1
dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	ALL	5
epidemiology_and_global_resources	Epidemiology and global resources	ALL	1
functional_genomics_archives	Functional genomics archives	ALL	3
general_research_repositories	General research repositories	ALL	4
genetics_and_target_knowledge	Genetics and target knowledge	ALL	6
literature_and_publication_mining	Literature and publication mining	ALL	2
ms_registry_or_cohort_catalog	MS registry or cohort catalog	ALL	3
sequence_archives	Sequence archives	ALL	2
clinical_reference_and_guidelines	Clinical reference and guidelines	external-unverifiable	4
clinical_trials_registry	Clinical trials registry	external-unverifiable	1
dmt_regulatory_and_drug_reference	DMT regulatory and drug reference	external-unverifiable	5
epidemiology_and_global_resources	Epidemiology and global resources	external-unverifiable	1
functional_genomics_archives	Functional genomics archives	external-unverifiable	3
general_research_repositories	General research repositories	external-unverifiable	4
genetics_and_target_knowledge	Genetics and target knowledge	external-unverifiable	6
literature_and_publication_mining	Literature and publication mining	external-unverifiable	2
ms_registry_or_cohort_catalog	MS registry or cohort catalog	external-unverifiable	3
sequence_archives	Sequence archives	external-unverifiable	2
