category	category_label	record_id	resource_name	epistemic_class	relationship_to_project_findings	access_tier	not_project_grounded_marker	source_label	source_url	project_use	path
functional_genomics_archives	Functional genomics archives	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	ArrayExpress in BioStudies	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	ArrayExpress in BioStudies page	https://www.ebi.ac.uk/arrayexpress/	Alternative transcriptomic cohort discovery source beyond GEO.	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
functional_genomics_archives	Functional genomics archives	resource.biostudies.database.2026-06-13	BioStudies	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	EMBL-EBI BioStudies team page	https://www.ebi.ac.uk/about/teams/biostudies/	Supplement and study-package discovery for MS datasets.	knowledge_external/catalogs/resources/biostudies_database.json
clinical_trials_registry	Clinical trials registry	resource.clinicaltrials_gov.2026-06-13	ClinicalTrials.gov	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	ClinicalTrials.gov home page	https://clinicaltrials.gov/	MS intervention/trial landscape navigation and potential cohort-source discovery.	knowledge_external/catalogs/resources/clinicaltrials_gov.json
genetics_and_target_knowledge	Genetics and target knowledge	resource.disgenet.platform.2026-06-13	DISGENET	external-unverifiable	orthogonal	mixed	NOT_PROJECT_GROUNDED	DISGENET home page	https://disgenet.com/	Competitor/source cataloging and future hypothesis queueing.	knowledge_external/catalogs/resources/disgenet_platform.json
general_research_repositories	General research repositories	resource.dryad.repository.2026-06-13	Dryad	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	Dryad home page	https://datadryad.org/	General research-data discovery route for publication-linked MS datasets.	knowledge_external/catalogs/resources/dryad_repository.json
genetics_and_target_knowledge	Genetics and target knowledge	resource.ega.controlled_genomics.2026-06-13	European Genome-phenome Archive	external-unverifiable	orthogonal	controlled	NOT_PROJECT_GROUNDED	EGA home page	https://ega-archive.org/	Controlled-access genetics/phenotype data discovery and acquisition route mapping.	knowledge_external/catalogs/resources/ega_controlled_genomics.json
sequence_archives	Sequence archives	resource.ena.sequence_archive.2026-06-13	European Nucleotide Archive	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	ENA Browser	https://www.ebi.ac.uk/ena/browser/	European sequence-read acquisition route for public expression/genomics datasets.	knowledge_external/catalogs/resources/ena_sequence_archive.json
literature_and_publication_mining	Literature and publication mining	resource.europe_pmc.literature.2026-06-13	Europe PMC	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	Europe PMC home page	https://europepmc.org/	Published-paper and supplement mining for MS cohorts and prior-art context.	knowledge_external/catalogs/resources/europe_pmc_literature.json
general_research_repositories	General research repositories	resource.figshare.repository.2026-06-13	Figshare	external-unverifiable	orthogonal	mixed	NOT_PROJECT_GROUNDED	Figshare about page	https://info.figshare.com/about/	Supplementary-data discovery route for papers and datasets not deposited in GEO/ENA/EGA.	knowledge_external/catalogs/resources/figshare_repository.json
functional_genomics_archives	Functional genomics archives	resource.geo.functional_genomics.2026-06-13	NCBI Gene Expression Omnibus	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	NCBI GEO home page	https://www.ncbi.nlm.nih.gov/geo/	Primary public transcriptomic cohort discovery source.	knowledge_external/catalogs/resources/geo_functional_genomics.json
genetics_and_target_knowledge	Genetics and target knowledge	resource.gwas_catalog.ms.2026-06-13	NHGRI-EBI GWAS Catalog	external-unverifiable	orthogonal	open	NOT_PROJECT_GROUNDED	GWAS Catalog home page	https://www.ebi.ac.uk/gwas/	Competitor/source cataloging and genetics prior-art navigation.	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
genetics_and_target_knowledge	Genetics and target knowledge	resource.imsgc.publications.2026-06-13	International Multiple Sclerosis Genetics Consortium	external-unverifiable	orthogonal	mixed	NOT_PROJECT_GROUNDED	IMSGC publications page	https://imsgc.net/publications/	Competitor/source cataloging and genetics prior-art context.	knowledge_external/catalogs/resources/imsgc_publications.json
ms_registry_or_cohort_catalog	MS registry or cohort catalog	resource.msbase.registry.2026-06-13	MSBase Registry	external-unverifiable	orthogonal	application	NOT_PROJECT_GROUNDED	MSBase home page	https://www.msbase.org/	Competitor/source cataloging; identifies a large clinical outcomes registry outside this repository's public rerunnable data core.	knowledge_external/catalogs/resources/msbase_registry.json
ms_registry_or_cohort_catalog	MS registry or cohort catalog	resource.msda.catalogue.2026-06-13	MS Data Alliance Catalogue	external-unverifiable	orthogonal	registration	NOT_PROJECT_GROUNDED	MSDA Catalogue home page	https://msda.emif-catalogue.eu/	Competitor/source cataloging and future acquisition lead generation.	knowledge_external/catalogs/resources/msda_catalogue.json
