grounded_finding_id	check	status	detail
Bounded APC/HLA-II early treatment-response monitoring scalar	priority_finding_represented	PASS	present
V22 scalar is immune-tone bounded, not steroid/composition artifact	priority_finding_represented	FAIL	missing
MS-UC is strongest tested genome-wide genetics comparator	priority_finding_represented	FAIL	missing
Coupled APC remodeling architecture	priority_finding_represented	FAIL	missing
Layer-specific autoimmune transfer-validity map	priority_finding_represented	FAIL	missing
ZMIZ1 opposite-direction MS/Crohn decoupling	priority_finding_represented	FAIL	missing
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	priority_finding_represented	FAIL	missing
PTGER4 mixed shared/distinct signal closes naive transfer	priority_finding_represented	FAIL	missing
No validated broad immune-state simulator from held data	priority_finding_represented	FAIL	missing
Coupled-axis successor rule does not beat scalar	priority_finding_represented	FAIL	missing
