grounded_finding_id	grounded_category	grounded_evidence_grade	external_record_id	epistemic_class	external_source	relationship_class	synthesis_status	decision_class	decision_text	future_grounding_action
First-principles druggability discipline changed target interpretation	methodological	supported	claim.open_targets.direction_tractability_context.2026-06-14	external-unverifiable	https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-102523-103838	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	Continue treating target-class precedent as insufficient unless direction-matched and tractable for the specific project signal.
Layer-specific autoimmune transfer-validity map	positive_supported	supported	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data.
MHC overlap is distinct-signal, not simple shared biology	decoupling_negative	negative-established	claim.plos.ms_mhc_independent_effects_context.2026-06-14	external-unverifiable	https://pmc.ncbi.nlm.nih.gov/articles/PMC3836799/	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	Continue requiring signal-specific fine-mapping before interpreting MHC overlap as shared biology.
MS-UC is strongest tested genome-wide genetics comparator	positive_supported	robust	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	No action needed for current interpretation; future refresh should hash and rerun the external summary-statistic inputs if imported.
Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	positive_supported	supported	claim.frontiers.uc_tofacitinib_mhc_stat1_context.2026-06-14	external-unverifiable	https://pmc.ncbi.nlm.nih.gov/articles/PMC9152176/	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	If this context is used beyond corroboration, import paired mucosal response data under a frozen test rather than using literature context as validation.
Tool-robust but simple V22 scalar	methodological	supported	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/30596875/	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	Do not add complexity to the locked rule without a preregistered external validation advantage.
UC genetics vs treatment-response layer split	decoupling_negative	supported	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	corroborated_context	Independent external context aligns with the grounded project finding; use as confidence-raising context, not evidence.	Use disease-pair and treatment-pair specific data before transferring any therapeutic inference across layers.
Bounded APC/HLA-II early treatment-response monitoring scalar	positive_supported	provisional	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Validate with the frozen V42/V44 harness on a paired labeled DMF cohort; do not use label context as validation.
Coupled APC remodeling architecture	positive_supported	supported	resource.msgd.database_commons.2026-06-13	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Import specific CD74, MIF, HLA, and APC-axis external records only as segregated future-grounding context before comparing them to V26.
Coupled-axis successor rule does not beat scalar	kills_closed	negative-established	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Keep V27 negative-established unless a future external cohort is tested with the frozen scalar and any pre-locked successor under a preregistered comparison.
EBV/IFN APC imprint downgraded by specificity control	kills_closed	negative-established	claim.science.ebv_ms_longitudinal_risk_context.2026-06-14	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/35025605/	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Reopen only with EBV-stratified expression data and predefined specificity controls.
Locked V7 general cross-disease baseline fallback killed	kills_closed	negative-established	claim.probast_tripod.prediction_model_validation_context.2026-06-14	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/30596875/	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Keep the V7 fallback killed unless a predefined external dataset directly tests the baseline-fallback rule.
No load-bearing invariant found in V26	decoupling_negative	negative-established	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	external-unverifiable	https://pmc.ncbi.nlm.nih.gov/articles/PMC6396336/	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Do not promote an invariant unless it passes the project's cross-modality null-tested invariant gate.
No validated broad immune-state simulator from held data	kills_closed	negative-established	resource.msgd.database_commons.2026-06-13	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.
Postpartum HLA-II/CD64 APC-arm imbalance	positive_supported	provisional	claim.national_ms_society.rrms_course_context.2026-06-13	external-unverifiable	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Acquire true postpartum MS immune trajectory data with relapse-window timing.
RA pregnancy comparator but blood APC treatment-response nontransfer	decoupling_negative	supported	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	external-unverifiable	https://pubmed.ncbi.nlm.nih.gov/38049980/	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Use RA pregnancy data only for pregnancy-timing hypotheses unless paired MS treatment-response data directly test transfer.
T/B-readable early IFN/APC/STAT1 monitoring state	positive_supported	provisional	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Ground only in paired response data with compartment-resolved or deconvolved readouts.
V22 scalar is immune-tone bounded, not steroid/composition artifact	methodological	supported	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	no_direct_external_corroboration	Related external context exists, but it does not validate or contradict the grounded finding.	Use the V42/V44 confounder and batch diagnostics when real validation data arrive.
Crohn downstream IFN/APC convergence exceeds genetic proximity	decoupling_negative	supported	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	insufficient_overlap	External record does not overlap enough with the grounded finding to support a relationship claim.	Import or acquire Crohn response datasets before using Crohn as a downstream response-monitoring comparator.
GPR25 demoted from protected favorite	kills_closed	negative-established	claim.nature.ms_ibd_gpr25_context.2026-06-14	external-unverifiable	https://pmc.ncbi.nlm.nih.gov/articles/PMC8463615/	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	insufficient_overlap	External record does not overlap enough with the grounded finding to support a relationship claim.	Keep GPR25 demoted unless signal-specific direction and tractability evidence is imported and grounded.
PTGER4 mixed shared/distinct signal closes naive transfer	decoupling_negative	negative-established	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	insufficient_overlap	External record does not overlap enough with the grounded finding to support a relationship claim.	Leave PTGER4 closed unless signal-specific external data are imported and grounded.
ZMIZ1 opposite-direction MS/Crohn decoupling	decoupling_negative	supported	resource.disgenet.platform.2026-06-13	external-unverifiable	https://disgenet.com/	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	insufficient_overlap	External record does not overlap enough with the grounded finding to support a relationship claim.	Create a future-grounding task only after importing specific ZMIZ1 records with source snapshots and hashes.
chr1 KIF21B/GPR25 locus resolves to real biology but hard target	decoupling_negative	supported	resource.gwas_catalog.ms.2026-06-13	external-unverifiable	https://www.ebi.ac.uk/gwas/	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	insufficient_overlap	External record does not overlap enough with the grounded finding to support a relationship claim.	Import specific GWAS Catalog associations only as future-grounding records before comparison.
