queue_id	priority	task_status	grounded_finding_id	grounded_artifact	external_record_id	epistemic_class	external_source	not_project_grounded_marker	relationship_class	synthesis_status	future_grounding_action
V48_FG_001	low	optional_refresh_only	MS-UC is strongest tested genome-wide genetics comparator	docs/history/LEAD_SLATE_V21.md	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	No action needed for current interpretation; future refresh should hash and rerun the external summary-statistic inputs if imported.
V48_FG_002	low	optional_refresh_only	Layer-specific autoimmune transfer-validity map	docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	converges	CORROBORATION_FROM_INDEPENDENT_SOURCE	If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data.
V48_FG_003	high	queued_for_future_grounding	Bounded APC/HLA-II early treatment-response monitoring scalar	docs/findings/FINDING_V22.md; docs/locked_rules/LOCKED_RULE_V22.md	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Validate with the frozen V42/V44 harness on a paired labeled DMF cohort; do not use label context as validation.
V48_FG_004	low	queued_for_future_grounding	V22 scalar is immune-tone bounded, not steroid/composition artifact	docs/workups/treatment_response/CONFOUNDER_AUDIT_V32.md	claim.dailymed.dimethyl_fumarate_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6c42107a-2a42-4263-97b6-ae0d7675c92a	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Use the V42/V44 confounder and batch diagnostics when real validation data arrive.
V48_FG_005	low	queued_for_future_grounding	Coupled APC remodeling architecture	docs/findings/DEEP_STRUCTURE_V26.md	resource.msgd.database_commons.2026-06-13	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Import specific CD74, MIF, HLA, and APC-axis external records only as segregated future-grounding context before comparing them to V26.
V48_FG_006	low	queued_for_future_grounding	T/B-readable early IFN/APC/STAT1 monitoring state	docs/history/HYPOTHESIS_SLATE_V36.md	claim.dailymed.ocrelizumab_mechanism_context.2026-06-13	external-unverifiable	https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9da42362-3bb5-4b83-b4bb-b59fd4e55f0d	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Ground only in paired response data with compartment-resolved or deconvolved readouts.
V48_FG_007	low	queued_for_future_grounding	Postpartum HLA-II/CD64 APC-arm imbalance	docs/history/HYPOTHESIS_SLATE_V35.md; docs/history/HYPOTHESIS_SLATE_V36.md	claim.national_ms_society.rrms_course_context.2026-06-13	external-unverifiable	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Acquire true postpartum MS immune trajectory data with relapse-window timing.
V48_FG_008	high	queued_for_future_grounding	ZMIZ1 opposite-direction MS/Crohn decoupling	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	resource.disgenet.platform.2026-06-13	external-unverifiable	https://disgenet.com/	NOT_PROJECT_GROUNDED	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	Create a future-grounding task only after importing specific ZMIZ1 records with source snapshots and hashes.
V48_FG_009	high	queued_for_future_grounding	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	docs/workups/genetics/GENETICS_CHR1_REEVALUATION_V19.md	resource.gwas_catalog.ms.2026-06-13	external-unverifiable	https://www.ebi.ac.uk/gwas/	NOT_PROJECT_GROUNDED	insufficient-overlap	RESOURCE_CAN_QUEUE_FUTURE_CHECK	Import specific GWAS Catalog associations only as future-grounding records before comparison.
V48_FG_010	low	queued_for_future_grounding	PTGER4 mixed shared/distinct signal closes naive transfer	docs/workups/genetics/GENETICS_EQTL_WORKUP_V16.md; docs/history/LEAD_INVENTORY_V29.md	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	external-unverifiable	https://www.nature.com/articles/s41467-021-25768-0	NOT_PROJECT_GROUNDED	insufficient-overlap	GENERAL_CONTEXT_NOT_LOCUS_CORROBORATION	Leave PTGER4 closed unless signal-specific external data are imported and grounded.
V48_FG_011	low	queued_for_future_grounding	No validated broad immune-state simulator from held data	docs/workups/treatment_response/MODEL_CARD_V25.md; analysis/v25_immune_state_model/model_validation_summary.json	resource.msgd.database_commons.2026-06-13	external-unverifiable	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	NOT_PROJECT_GROUNDED	insufficient-overlap	NO_DIRECT_EXTERNAL_CORROBORATION	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.
