disease	axis_a	axis_a_label	placement_a	grade_a	confidence_a	compartment_a	causality_a	axis_b	axis_b_label	placement_b	grade_b	confidence_b	compartment_b	causality_b	placement_distance	independence_penalty	rank_score	compartment_mismatch	causality_mismatch	axis_nonindependence_risk	artifact_risk_notes	initial_classification	cell_id	status	resolution_grade	last_action	next_action
ulcerative colitis	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	robust	high	colon myeloid	cross_sectional	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	2.5	1.0	3.955078125	True	True	not_flagged	compartment mismatch; causality/measurement mismatch; confidence mismatch	unresolved_pending_artifact_audit	001_ulcerative_colitis_axis_01_ifn_apc_vs_axis_07_treatment_response	intervention_derived	V11 transfer-validity finding	V11 UC audit resolved cell as static-state versus dynamic-downshift decoupling. Cross-sectional colon myeloid IFN/APC is high, but baseline mucosal IFN/APC fails as a response predictor while early -delta IFN/APC passes in paired mucosal treatment cohorts.	Use as MS transfer warning: test early compartment-relevant IFN/APC delta, not baseline IFN/APC height. See UC_STATIC_DYNAMIC_APC_DECOUPLING_V11.md.
Sjogren syndrome	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	supported	medium	salivary gland epithelial	cross_sectional	axis_04_lipid_lysosomal	lipid-lysosomal / foamy myeloid state	far	supported	medium	salivary gland APC; salivary gland epithelial	cross_sectional	3.0	1.0	3.75	True	False	not_flagged	compartment mismatch	unresolved_pending_artifact_audit	002_Sjogren_syndrome_axis_01_ifn_apc_vs_axis_04_lipid_lysosomal	biological	Tier 1 candidate	V10 matched salivary epithelial/APC audit plus GSE23117 bulk replication; sharpened to IFN/APC-positive versus lysosomal/APC-null, lipid-loader-negative component remains weaker.	Find independent salivary single-cell/spatial APC replication for lipid-loader/foamy-myeloid component.
rheumatoid arthritis	axis_01_ifn_apc	IFN/APC antigen-presentation state	far	supported	medium	blood myeloid/APC	cross_sectional	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	003_rheumatoid_arthritis_axis_01_ifn_apc_vs_axis_09_sex_hormonal_pregnancy	biological	Tier 1 perturbation-class candidate	V10 RA audit: blood IFN/APC negative/null while seropositive RA pregnancy shows late-pregnancy trough and postpartum rebound.	Seek composition-adjusted RA/MS pregnancy data with monocyte/APC resolution.
rheumatoid arthritis	axis_07_treatment_response	treatment-response architecture	far	supported	medium	blood	treatment_perturbation	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	False	True	not_flagged	causality/measurement mismatch	unresolved_pending_artifact_audit	004_rheumatoid_arthritis_axis_07_treatment_response_vs_axis_09_sex_hormonal_pregnancy	biological	Tier 1 perturbation-class candidate	V10 RA audit: RA anti-TNF blood APC response rules fail, but pregnancy immune-kinetic axis is near MS.	Test whether pregnancy modules fail to rescue RA anti-TNF APC response in independent cohorts.
rheumatoid arthritis	axis_08_tissue_repair_resolution	tissue repair and resolution biology	far	supported	medium	blood/synovium	treatment_perturbation	axis_09_sex_hormonal_pregnancy	sex, hormonal, and pregnancy modulation	near	supported	medium	blood	natural_experiment	3.0	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	005_rheumatoid_arthritis_axis_08_tissue_repair_resolution_vs_axis_09_sex_hormonal_pregnancy	artifact	V11 axis-scope correction	V11 audit found the RA axis-08 far placement is supported mainly by blood anti-TNF response-monitoring failures, while synovial tissue repair remains under-tested. The pregnancy contrast remains valid only against blood response-monitoring, not global RA tissue repair.	Rebuild RA tissue-repair axis with paired synovial tissue or validated synovial repair endpoints. See RA_TISSUE_REPAIR_PREGNANCY_SCOPE_AUDIT_V11.md.
ulcerative colitis	axis_02_genetics	genetic risk architecture	near	supported	medium	germline	genetic_correlation	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	2.5	1.0	3.75	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	006_ulcerative_colitis_axis_02_genetics_vs_axis_07_treatment_response	intervention_derived	V12 supported genetics layer-decoupling finding	V12 triangulated published MS-UC LDSC genetics, OpenTargets shared genetic targets, QTL/L2G target-resolution evidence, UC myeloid cell-state transcriptomics, and V7 treatment-response cohorts. Resolved as upstream shared genetic liability decoupled from downstream mucosal dynamic treatment-response architecture. OPENGWAS_JWT was not visible, so new LDSC/coloc was not run.	Upgrade only when OpenGWAS/coloc can run: test shared loci and 12 shared OpenTargets genes for cross-trait colocalization and response prediction. See UC_GENETICS_TREATMENT_DECOUPLING_V12.md.
Crohn disease	axis_01_ifn_apc	IFN/APC antigen-presentation state	near	supported	medium	colon myeloid	cross_sectional	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	007_Crohn_disease_axis_01_ifn_apc_vs_axis_02_genetics	biological	V12 supported downstream-convergence finding	V12 triangulated published MS-Crohn LDSC genetics, OpenTargets shared targets, QTL/L2G and same-gene cell-state evidence, Crohn colon myeloid IFN/APC transcriptomics, and IBD treatment-response context. Resolved as downstream colon myeloid IFN/APC convergence exceeding inherited-risk proximity. OPENGWAS_JWT was not visible, so new LDSC/coloc was not run.	Upgrade with in-process OpenGWAS/HDL and cross-trait coloc, then replicate Crohn myeloid IFN/APC in an independent atlas. See CROHN_IFN_APC_GENETICS_DECOUPLING_V12.md.
Crohn disease	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	axis_07_treatment_response	treatment-response architecture	near	supported	medium	intestinal mucosa	treatment_perturbation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	008_Crohn_disease_axis_02_genetics_vs_axis_07_treatment_response	intervention_derived	V12 supported downstream-response convergence finding	V12 resolved as Crohn intermediate MS genetics with downstream mucosal treatment-response convergence. Evidence combined published genetics, OpenTargets target overlap, QTL/L2G/same-gene cell-state evidence, Crohn/IBD myeloid IFN/APC transcriptomics, and GSE16879 response dynamics.	Upgrade with executable OpenGWAS/coloc and Crohn-only paired mucosal response cohorts. See CROHN_GENETICS_RESPONSE_REPAIR_DECOUPLING_V12.md.
Crohn disease	axis_02_genetics	genetic risk architecture	intermediate	supported	medium	germline	genetic_correlation	axis_08_tissue_repair_resolution	tissue repair and resolution biology	near	supported	medium	intestinal mucosa	treatment_perturbation	1.0	1.0	1.5	True	True	not_flagged	compartment mismatch; causality/measurement mismatch	unresolved_pending_artifact_audit	009_Crohn_disease_axis_02_genetics_vs_axis_08_tissue_repair_resolution	intervention_derived	V12 supported downstream-repair convergence finding	V12 resolved as Crohn intermediate MS genetics with downstream mucosal repair/response-monitoring convergence. The transferable concept is inflammatory-state downshift, not remyelination or shared causal genetics.	Upgrade with executable OpenGWAS/coloc, Crohn-only treatment cohorts, and repair endpoints independent of IFN/APC delta. See CROHN_GENETICS_RESPONSE_REPAIR_DECOUPLING_V12.md.
ulcerative colitis	axis_07_treatment_response	treatment-response architecture	contradictory	supported	medium	intestinal mucosa	treatment_perturbation	axis_08_tissue_repair_resolution	tissue repair and resolution biology	near	supported	medium	intestinal mucosa	treatment_perturbation	2.5	0.25	0.78125	False	False	high	axis non-independence risk: treatment-response and repair evidence may overlap	unresolved_pending_artifact_audit	010_ulcerative_colitis_axis_07_treatment_response_vs_axis_08_tissue_repair_resolution	artifact	downgraded axis-design issue	V10 hostile critique found high evidence overlap between treatment-response and tissue-repair axes; row downgraded by independence penalty.	Rebuild tissue-repair axis with independent repair endpoints.
