row_key	check	status	detail
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	present_in_shortlist	PASS	/Users/soeren.leibach/Projects/ms-auto-research/knowledge_external/synthesis/decision_relevant_convergences_v48.tsv
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	shortlist_class_matches_relationship	PASS	expected=corroborated_grounded_context observed=corroborated_grounded_context
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.grounded_finding_id	PASS	expected=Layer-specific autoimmune transfer-validity map observed=Layer-specific autoimmune transfer-validity map
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.grounded_evidence_grade	PASS	expected=supported observed=supported
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.grounded_artifact	PASS	expected=docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md observed=docs/findings/AXIS_DISAGREEMENT_FINDINGS_V12.md
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.external_record_id	PASS	expected=claim.ms_ibd.treatment_transfer_caution_context.2026-06-14 observed=claim.ms_ibd.treatment_transfer_caution_context.2026-06-14
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.epistemic_class	PASS	expected=external-unverifiable observed=external-unverifiable
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.external_source	PASS	expected=https://www.nature.com/articles/s41467-021-25768-0 observed=https://www.nature.com/articles/s41467-021-25768-0
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.relationship_class	PASS	expected=converges observed=converges
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.synthesis_status	PASS	expected=CORROBORATION_FROM_INDEPENDENT_SOURCE observed=CORROBORATION_FROM_INDEPENDENT_SOURCE
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.interpretation	PASS	expected=The external literature context warns that treatment effects do not transfer naively between MS and IBD. This aligns with the project's axis-specific transfer-validity map; the project artifact remains the evidence. observed=The external literature context warns that treatment effects do not transfer naively between MS and IBD. This aligns with the project's axis-specific transfer-validity map; the project artifact remains the evidence.
Layer-specific autoimmune transfer-validity map||claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	field_matches.future_grounding_action	PASS	expected=If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data. observed=If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data.
